id,found_at,status,title,company,location,source,visa_sponsorship,dol_h1b_sponsor,dol_h1b_lca_count,dol_h1b_worker_positions,dol_h1b_role_lca_count,dol_h1b_employer,h1bgrader_url,url
google_81031076243219142,2026-09-12 23:03:03 UTC,To Apply,"Senior Product Manager Ordering, Entitlements and Obligations",Google,"Sunnyvale, CA, USA",Google,Not stated,Yes,7339,8626,254,Google,https://h1bgrader.com/jobs/search?keyword=Google&limit=25&location=&page=1,https://www.google.com/about/careers/applications/jobs/results/81031076243219142
google_75437862740206278,2026-09-12 23:03:03 UTC,To Apply,"Group Product Manager, AI Agent Security and Authorization",Google,"San Jose, CA, USA; New York, NY, USA",Google,Not stated,Yes,7339,8626,221,Google,https://h1bgrader.com/jobs/search?keyword=Google&limit=25&location=&page=1,https://www.google.com/about/careers/applications/jobs/results/75437862740206278
google_89758602260030150,2026-09-12 23:03:03 UTC,To Apply,"Lead Group Product Manager, Ads and Commerce, Payments Risk",Google,"Mountain View, CA, USA",Google,Not stated,Yes,7339,8626,235,Google,https://h1bgrader.com/jobs/search?keyword=Google&limit=25&location=&page=1,https://www.google.com/about/careers/applications/jobs/results/89758602260030150
google_107772938492486342,2026-09-12 23:03:03 UTC,To Apply,"Senior Product Manager, AI Model Safety, Google Cloud AI",Google,"Sunnyvale, CA, USA",Google,Not stated,Yes,7339,8626,252,Google,https://h1bgrader.com/jobs/search?keyword=Google&limit=25&location=&page=1,https://www.google.com/about/careers/applications/jobs/results/107772938492486342
google_130746374961406662,2026-09-12 23:03:03 UTC,To Apply,"Senior Product Manager, Youtube Ads Ranking User Quality",Google,"Mountain View, CA, USA",Google,Not stated,Yes,7339,8626,218,Google,https://h1bgrader.com/jobs/search?keyword=Google&limit=25&location=&page=1,https://www.google.com/about/careers/applications/jobs/results/130746374961406662
google_90553057393156806,2026-09-12 23:03:03 UTC,To Apply,"Product Manager, Consumer Shopping",Google,"Mountain View, CA, USA",Google,Not stated,Yes,7339,8626,194,Google,https://h1bgrader.com/jobs/search?keyword=Google&limit=25&location=&page=1,https://www.google.com/about/careers/applications/jobs/results/90553057393156806
google_115627531733738182,2026-09-12 23:03:03 UTC,To Apply,"Senior Product Manager, AI Operations, Google Distributed Cloud",Google,"Sunnyvale, CA, USA",Google,Not stated,Yes,7339,8626,320,Google,https://h1bgrader.com/jobs/search?keyword=Google&limit=25&location=&page=1,https://www.google.com/about/careers/applications/jobs/results/115627531733738182
google_72113182243463878,2026-09-12 23:03:03 UTC,To Apply,"Senior Product Manager, Storage",Google,"Seattle, WA, USA; Sunnyvale, CA, USA",Google,Not stated,Yes,7339,8626,216,Google,https://h1bgrader.com/jobs/search?keyword=Google&limit=25&location=&page=1,https://www.google.com/about/careers/applications/jobs/results/72113182243463878
google_98519253212111558,2026-09-12 23:03:03 UTC,To Apply,"Group Product Manager, Gemini Cloud Assist",Google,"Sunnyvale, CA, USA; San Francisco, CA, USA",Google,Not stated,Yes,7339,8626,203,Google,https://h1bgrader.com/jobs/search?keyword=Google&limit=25&location=&page=1,https://www.google.com/about/careers/applications/jobs/results/98519253212111558
google_109198921321849542,2026-09-12 23:03:03 UTC,To Apply,"Product Manager, AI, Gboard",Google,"Mountain View, CA, USA",Google,Not stated,Yes,7339,8626,194,Google,https://h1bgrader.com/jobs/search?keyword=Google&limit=25&location=&page=1,https://www.google.com/about/careers/applications/jobs/results/109198921321849542
